name,organization_type,parent_organization_id,priority,segment_id,website,phone,email,address,city,state,postal_code,description,logo_url,linkedin_url,annual_revenue,employee_count,founded_year,tax_identifier,context_links,notes,sales_id,created_by,updated_by,deleted_at,import_session_id
"Dixon Fisheries, INC",distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Dmk Burger Bar,customer,,B,,,,,1410 S. Special Olympics Drive,,,,Gastropub,,,,,,,,,,,,,
Dog House,prospect,,B,,,,,,Brunswick,OH,,Fast food,,,,,,,,W/w Atalntic Distributor Rep JOSH CHAMBERS,,,,,
Dog N Suds Drive in,customer,,B,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Donato'S,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Dorthy Lane Market,prospect,,C,,,,,,Dayton,OH,,Retail,,,,,,,,talkd about poke they get bulk seafood and poke mix from NOH,,,,,
Dosbros,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Dot,customer,,A,,,,,,,,,College & Universites,,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA,,,,,
Dots Platform,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Double B Distributors,distributor,,A,,,,,,,KY,,Distributor,,,,,,,,,,,,,
Dovetail,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Dp Dough,customer,,B,,,,,,,,,Casual,,,,,,,,,,,,,
Drake,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,Samples left. Champion is Brian. HQ call. Gfs supplied. Brent to pursue.,,,,,
Drake Oakbrook,customer,,A,,,,,,,,,Hospitality,,,,,,,,,,,,,
Drury Lane,customer,,A,,,,,"100 Drury Lane Oakbrook Terrace, Il",,,,Entertainment/Casinos/Theatres,,,,,,,,Emailed on Proper Stock CATMAN identification-on 8/19 identified Catman who is Lauren Vanryn. Our timing is excellent as this category is up for review in a month or so and they will likely request samples and a presentation.,,,,,
"Drury Lane Theatre, Banquet Hall",customer,,C,,,,,Countryside,,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Dtm Distributors,distributor,,A,,,,,,Bowling Green,KY,,Distributor,,,,,,,,email Virginia to see if we can show samples,,,,,
Duane S. Rahe INC,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Dublin Hall Irish,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Ducky'S,customer,,C,,,,,,Fort Wayne,IN,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Dukes Alehouse,customer,,A,,,,,,,,,Gastropub,,,,,,,,They use our SWAP chicken.,,,,,
Dusty,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Dutch Valley Schlabach,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
"E & S Sales, LLC",distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
E.T.C.,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Earl G. Dumplins,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
East Bank Club,customer,,A,,,,,500 N Kingsbury St,Chicago,IL,60654,Entertainment/Casinos/Theatres,,,,,,,,"1/31/25 Tessa is no longer the rep here, she has been promoted to a corporate role. Will try to find the new rep.",,,,,
East End Tap,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Eating to Live LLC,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
El Ideas,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
El Salto,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Elegante Cuisine,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Eleven City,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Elohi Strategic Advisors,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Elsie,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Empire Burger,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Entourage,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Enzo'S Bar,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Epic,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Erb Meat Company,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Ernst Hotel Supply Co,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Esme,customer,,B,,,,,2200 N Clark St Suite B,Chicago,IL,,Fine Dining,,,,,,,,,,,,,
Especially,customer,,B,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Essential Kitchen & Essential Kitchen Cafe,prospect,,C,,,,,1405 Hunt Club Rd,Gurnee,IL,,Meal Prep Service,,,,,,,,,,,,,
"E-Tailer, INC",unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Etc,customer,,B,,,,,404 S Wells St,Chicago,IL,,Fine Dining,,,,,,,,Opens Dec. 5th,,,,,
Euclid,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Eurest,customer,,A,,,,,,,,,Management company,,,,,,,,,,,,,
Eurest Dining,customer,,A,,,,,,,,,Management company,,,,,,,,,,,,,
European Imports,prospect,,A,,,,,,,,,Group Purchasing Organization,,,,,,,,,,,,,
Even Odds,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Ever,customer,,A,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Evil Chech (Brewery& Public House?),customer,,B,,,,,3703 N Main St,Mishawaka,IN,,Gastropub,,,,,,,,,,,,,
Factor75,prospect,,A,,,,,,Burr Ridge,IL,,Meal Prep Service,,,,,,,,"Chris is Manager at Burr Ridge location. Chris referred me to Director of Procurment, Kate HealyMeal prep chef Pete balodimas buyer Matt Horgan. Chef Kyle VerVynck",,,,,
Fairmont Chicago,customer,,A,,,,,200 North Columbus Dr,Chicago,IL,60601,Fine Dining,,,,,,,,Testa Kristen lead for VAF; Chef Elton,,,,,
Falco'S Pizza,customer,,C,,,+1-630-654-4644,,561 S Fontage Rd,Burr Ridge,IL,60527,Pizza,,,,,,,,Gave a kaufhold's sample kit to the manager and tried one of the flavors. Need to follow up,,,,,
Family Express,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Family Produce Food Servi,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Farmhouse Academy,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Fat Angelo'S of Bridgeport,customer,,C,,,,,,,,,Gastropub,,,,,,,,,,,,,
Fatkats Pizzaeria and Restaurant,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Fazoli'S,customer,,A,,,,,So Many in Indiana,,IN,,Chain/Group Member,,,,,,,,,,,,,
Ferrara Candy Company,prospect,,D,,,,,,,,,Industrial,,,,,,,,,,,,,
Ferris Coffee and Nut Co,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Fine Arts Bistro,customer,,C,,,,,,Glasgow,KY,,Casual,,,,,,,,emailed about samples interest,,,,,
Fira,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Fire Bar+Grill,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Firekeepers Casino Hotel,customer,,B,,,,,,,,,Entertainment/Casinos/Theatres,,,,,,,,Emailed on 8/19.Executive Chef Brandon Lester; sous chef Everett morris and buye Megan mead,,,,,
Flik Hospitality,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Food & Paper Supply Co,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Food Distributors INC,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Food Export - Midwest,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
"Food Technology Magazine, Institute of Food Technologists",unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Foodmix,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Foodservice Database Co,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Fop Restaurant,customer,,C,,,,,,,,,Casual,,,,,,,,,,,,,
Forage Public House,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Forbidden Root,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Ford Center Arena Evsnsville,customer,,B,,,,,,,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Ford Center Executive Chef,customer,,B,,,,,,,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Fortune Fish,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Fortune Fish & Gourmet,distributor,,A,,,,,,,,,Distributor,,,,,,,,,,,,,
Foundry Kitchen and Bar,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Four Pegs,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Four Seasons Hotel Chicago,customer,,A,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Four Star Foods,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Fox Supply,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Fox Valley Farms,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Franciscan Hospital,prospect,,A,,,,,,,,,Healthcare,,,,,,,,,,,,,
Frank and Mary'S Tavern,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Franklin Room,customer,,B,,,+1-312-445-4686,,675 N�Franklin�St.,Chicago,IL,,Gastropub,,,,,,,,Delivered FS samples per Flip'a request,,,,,
Freedom Brothers Pizzeria & Alehouse,customer,,D,,,,,,,,,Pizza,,,,,,,,,,,,,
Freelance,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Freezpak,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Fresh Creations LLC,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Frisch Big Boy,customer,,A,,,,,,,,,Casual,,,,,,,,,,,,,
Froelichs,unknown,,C,,,,,,,,,,,,,,,,,FS-bought Cottage,,,,,
Front Street Social,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Frontera,customer,,A,,,,,,,,,Ethnic,,,,,,,,,,,,,
Fuego Tacos,unknown,,B,,,,,,,,,,,,,,,,,,,,,,
Fuel Nutrition,prospect,,C,,,+1-270-799-7784,,3278 Nashville Rd,Bowling Green,KY,42104,Bar/Lounge,,,,,,,,,,,,,
Fujiyama Steakhouse of Japan,customer,,C,,,,,,,,,Ethnic,,,,,,,,,,,,,
Fulton Troika,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Gabby Goat American Pub and Grill,customer,,D,,,,,,,,,Gastropub,,,,,,,,,,,,,
Gaelic Park,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Gage Hospitality Group,customer,,A,,,+1-312-372-4001,,18 S. Michigan Avenue Ste 1100,Chicago,IL,,Management company,,,,,,,,"ACANTO, Coda di volpe, dawson, The Gage",,,,,
Gag'S Chicken,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Galant Food Company,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Galena Associates INC,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Galit,customer,,C,,,,,,,,,Gastropub,,,,,,,,,,,,,
Garda'S,prospect,,C,,,,,,,,,Italian,,,,,,,,,,,,,
Gather,customer,,C,,,,,,,,,Gastropub,,,,,,,,,,,,,
Gelardi Produce,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Gelsosomo'S Pizzeria,customer,,A,,,,,,,,,Pizza,,,,,,,,,,,,,
Gemato'S Wood Pit BBQ,customer,,C,,,+1-708-361-4200,,6701 W 11th St,Worth,IL,,Casual,,,,,,,,Met Jose (owner) and dropped off samples. Wants table tents. 11-12-24,,,,,
Georgia State,customer,,A,,,,,,,,,College & Universites,,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA,,,,,
Gerolissimo,customer,,A,,,,,,,,,Pizza,,,,,,,,,,,,,
Get Fresh Produce,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Gordon Food Service,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Gordon Food Service - D,distributor,,A,,,,,,,,,Distributor,,,,,,,,,,,,,
Gordon Food Service - M,distributor,,A,,,,,,,,,Distributor,,,,,,,,,,,,,
Gordon Food Service - Q,distributor,,A,,,,,,,,,Distributor,,,,,,,,,,,,,
Ghost Writer,customer,,C,,,,,49 1/2 S Main St,Johnstown,OH,43031,Gastropub,,,,,,,,Shipped Chef Bradley Baluch a Annasea sample pack,,,,,
Gianni'S Cafe,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Gibson'S Rosemont,customer,,A,,,,,"5464 N River Road, Rosemont, Il",,,,Chain/Group Member,,,,,,,,"14 locations in four states Gibson's bar and steakhouse Hugos, frog bar and Fish House, Lux bar, Cortino restaurant and wine bar Gibson's Italia. The boathouse also manages RL restaurant the polo bar in New York on behalf of Ralph Lauren, RL restaurant, Chi socks, bar, and grill and Hugos, frog bar and chophouse in rivers Casino and sugarhouse casino.",,,,,
Gilt Bar,customer,,A,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Gino'S East,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Gino'S Prime - Dyer,customer,,B,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Giordano'S,customer,,A,,,,,,,,,Pizza,,,,,,,,,,,,,
Glass City Food Service,distributor,,A,,,,,,Toledo,OH,,Distributor,,,,,,,,,,,,,
Gnome Town,customer,,A,,,,,,Fort Wayne,IN,,Chain/Group Member,,,,,,,,,,,,,
Go Grocers,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Goblin and Grocer,customer,,A,,,,,,,IL,,Caterer,,,,,,,,GFS ROSEMONT F/U,,,,,
Godess and Grocer,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Gold Star,unknown,,B,,,,,,,,,,,,,,,,,,,,,,
Golden Boy BBQ,customer,,A,,,,,551 S York St,Elmhurst,IL,60126,Casual,,,,,,,,,,,,,
Good to Go Food,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Goosefoot,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Gordon Food Service - Brighton DC,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Gordon Food Service - Clay Ave DC,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Gordon Food Service - Dock #7,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Gordon Food Service - Epo,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Gordon Food Service - Epo Refrig/Froz,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Gordon Food Service - Fed Ex Only,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Gordon Food Service - Green Oak DC,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Gordon Food Service - Shepherdsville DC,distributor,,A,,,,,,,KY,,Distributor,,,,,,,,,,,,,
Gordon Food Service - Springfield DC,distributor,,A,,,,,,,OH,,Distributor,,,,,,,,,,,,,
Goshen Brewing,customer,,C,,,,,,,,,Gastropub,,,,,,,,,,,,,
Gottleib Memorial,prospect,,A,,,,,,,IL,,Healthcare,,,,,,,,GFS ROSEMONT F/U,,,,,
Gourmet Gorilla,customer,,C,,,,,,,,,Casual,,,,,,,,,,,,,
Grand Valley State University,customer,,B,,,,,,,,,College & Universites,,,,,,,,,,,,,
Great Harvest,customer,,A,,,,,,Crown Point,IN,,Chain/Group Member,,,,,,,,gluten free opportunity. sent lead to Carol.Await their reply,,,,,
Greco,distributor,,A,,,,,,,,,Distributor,,,,,,,,,,,,,
Greco Pa,distributor,,A,,,,,,,,,Distributor,,,,,,,,,,,,,
Green Street Smoked Meats (Hogsalt),customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Greenbush,customer,,B,,,,,,,,,Gastropub,,,,,,,,FS sampled thru PFG-awaiting,,,,,
Greenleaf Foods,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Greenntop Tavern,customer,,A,,,,,,,MI,,Gastropub,,,,,,,,,,,,,
Greenwood Associates,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Greystone Tavern,customer,,C,,,,,,,,,Gastropub,,,,,,,,Chef wants gluten free cheese curds. Ours aren't.,,,,,
Grindstone Taphouse,unknown,,B,,,,,,,,,,,,,,,,,,,,,,
Guckenheimer,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Guest Supply - Chicago Sysc,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Gvsu,customer,,A,,,,,,,MI,,College & Universites,,,,,,,,,,,,,
Gyros and More,prospect,,B,,,,,,Lorain,OH,,Fast food,,,,,,,,W/w Atalntic Distributor Rep JOSH CHAMBERS,,,,,
Hacienda Calavera,customer,,A,,,,,5503 W Cermak Rd,Cicero,IL,60804,Ethnic,,,,,,,,,,,,,
Half Acre,customer,,C,,,,,,,,,Gastropub,,,,,,,,,,,,,
Halls Chophouse,customer,,C,,,,,1600 West End Ave #101,Nashville,TN,37203,Fine Dining,,,,,,,,Shipped Chef Josh a box of Annasea tuna and salmon,,,,,
Hammerheads,customer,,C,,,,,,,,,Gastropub,,,,,,,,,,,,,
Harbor Shores,prospect,,B,,,,,,,,,Country Clubs/Golf/Health Fitness,,,,,,,,FS sampled. Like 3/8-GFS,,,,,
Harold'S,unknown,,B,,,,,,,,,,,,,,,,,,,,,,
Harrison Lake Country Club,customer,,B,,,+1-312-828-0966,,,,,,Chain/Group Member,,,,,,,,,,,,,
Harry Carey (8) Lombard Rosemont River North Navy Pier Mag Mile,customer,,A,,,,,,,,,Casual,,,,,,,,,,,,,
Harvest Bar and Kitchen,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Harveys,prospect,,A,,,,,,Saginaw,MI,,Vegan/ Vegetarian,,,,,,,,meeting-awaiting assigned sales rep names,,,,,
Harveys on the Mall,customer,,A,,,,,,,MI,,Gastropub,,,,,,,,,,,,,
Hayah Treats,customer,,D,,,,,,,,,Gastropub,,,,,,,,FS reviewed and sampled. GFS,,,,,
Haymarket Brewery,customer,,A,,,+1-312-374-3013,,2001 W. Grand Ave,Chicago,IL,60612,Chain/Group Member,,https://www.heislerhospitality.com,,,,,,,,,,,
Heisler Hospitality,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Hello Fresh,prospect,,A,,,,,,Aurora,IL,,Meal Prep Service,,,,,,,,Initial email to Kate Healy on 1/27,,,,,
Heritage,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Hermosa,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
High Dive,customer,,A,,,,,,,MI,,Gastropub,,,,,,,,,,,,,
High Horizon(Ky Horse Park),unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Hillcrest Cc,prospect,,C,,,,,,,,,Country Clubs/Golf/Health Fitness,,,,,,,,,,,,,
Hillcrest Foodservice,distributor,,A,,,,,,Cleveland,OH,,Distributor,,,,,,,,,,,,,
Hilton Oakbrook,customer,,A,,,,,,,,,Hospitality,,,,,,,,,,,,,
Hiraya Hospitality Collective,customer,,D,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
His Hospitality,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Hk Banjum Glenview INC,customer,,A,,,,,,,,,Chain/Group Member,,https://www.hogsalt.com,,,,,,"Owns 20 restaurants in four cities with over 1000 employees Chicago location and headquartered, Armitage ale House Astor Hall are Chevelle the steakhouse Sachiko meal doughnut vault guilt bar green Street smoked meats high five Ramen, la Ren� lobster bar monkey bar, Sada coffee small Cheval tivolimyavern SYSCO CONTRACT",,,,,
Hog Wild,prospect,,A,,,,,,,,,Group Purchasing Organization,,,,,,,,,,,,,
Hogsalt Hospitality Group,unknown,,A,,,,,,,,,,,,,,,,,,,,,,
Holy Grale,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Honey 1 BBQ,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Honey Berry,customer,,C,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Honey Jam Cafe,prospect,,A,,,+1-708-354-4880,,"181 Countryside Plaza,",Countryside,IL,60525,Breakfast/Brunch,,,,,,,,As of 1/31/25 we are 7 locations with the Kaufhold's cheese curds.,,,,,
Hook Fish and Chicken,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Hookup LLC,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Hopcat,customer,,A,,,,,,,MI,,Gastropub,,,,,,,,,,,,,
Hopleaf,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Horseshoe Casino,customer,,A,,,+1-773-687-8667,,10 West Hubbard St./3651 W. Fullerton,Chicago,IL,,Chain/Group Member,,,,,,,,,,,,,
Hospitality Service Group,customer,,A,,,,,,,,,Gastropub,,,,,,,,,,,,,
Hr Clark General Store,prospect,,C,,,,,1001 a Dutch Creek Rd,Westmoreland,TN,,Travel,,,,,,,,Have bought 9 Cases of Dill Pickle Cheese Curds already thru Abdale looking to get the Thru DOT next,,,,,
Ht Hackney Indy,distributor,,A,,,,,,Indianapolis,IN,,Distributor,,,,,,,,email to introduce MFB and lines we carry,,,,,
Ht Hackney Gr,distributor,,A,,,,,,Grnd Rapids,MI,,Distributor,,,,,,,,email to introduce MFB and lines we carry,,,,,
Ht Hackney(Paducah),distributor,,A,,,,,,Paducah,KY,,Distributor,,,,,,,,email to introduce MFB and lines we carry,,,,,
Wild Egg,customer,,A,,,,,,Louisville,KY,,Chain/Group Member,,,,,,,,20 stores,,,,,
Hugo Fog Bar,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Hungry Howies,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,Email chef and will drop off sample box of fries,,,,,
Hurtbourne Country Club (Louisville),prospect,,B,,,,,,,,,Travel,,,,,,,,,,,,,
Hyatt Lodge in Oakbrook,customer,,C,,,,,,,,,Hospitality,,,,,,,,,,,,,
Hyatt Regency Mccormick Place,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Hyles-Anderson College,customer,,A,,,,,8400 Burr Street,Crown Point,IN,46307,College & Universites,,,,,,,,,,,,,
I Took,unknown,,B,,,,,"180 N. Field Boulevard, Chicago, Illinois",Chicago,IL,,,,,,,,,,,,,,,
"Illini Inst. Foods, INC",distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Illinois State University,customer,,A,,,,,,,,,College & Universites,,,,,,,,,,,,,
In the Game Hollywood Park,customer,,A,,,,,501 Cal Sag Road,Crestwood,IL,,Entertainment/Casinos/Theatres,,,,,,,,Desserts & Curds,,,,,
Ina Mae,unknown,,B,,,,,,,,,,,,,,,,,Chef David directs us thru Piazza and Harry Greene.,,,,,
Indiana Concessions Suppl,distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
Indianhead Food Distributor,customer,,C,,,,,,Eau Claire,WI,,Education K thru 12,,,,,,,,,,,,,
Indienne,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Informa Markets/Supplyside/Food & Beverage Insider,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Inner City Entertainment,unknown,,D,,,,,,,,,,,,,,,,,Sampling chips-Sysco Chgo,,,,,
Innsbrook,prospect,,D,,,,,,,,,Country Clubs/Golf/Health Fitness,,,,,,,,,,,,,
Innsbrook Cc,prospect,,B,,,,,,,,,Country Clubs/Golf/Health Fitness,,,,,,,,,,,,,
Inspiration Kitchens,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Instantwhip Foods INC,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
International Meat Co,distributor,,A,,,,,,Chicago,IL,,Distributor,,,,,,,,,,,,,
Irbn,distributor,,A,,,,,,,IN,,Distributor,,,,,,,,,,,,,
Italia Gardens,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
J. Alexander,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
"J. Mark Enterprises, LLC",customer,,B,,,,,41 E. Superior,Chicago,IL,,Gastropub,,,,,,,,,,,,,
Jake Melnicks Corner Tap,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Jay Mark Group,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Jb Bailey Investments,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Jesse Oaks,prospect,,C,,,,,,Gages Lake,IL,,Bar/Lounge,,,,,,,,Lead came in from USF Rep Lori Taylor.,,,,,
Jodi'S Italian Ice Factory,customer,,C,,,,,,,,,Casual,,,,,,,,,,,,,
Joe Frontera & Sons,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Joe Seafood,customer,,B,,,,,"60 E. Grand Avenue Chicago, Illinois",Chicago,IL,,Fine Dining,,,,,,,,,,,,,
Joe'S Seafood Prime Steak and Stone Crab,unknown,,B,,,,,,,,,,,,,,,,,,,,,,
Johnnies Beef,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Johnnys,customer,,A,,,,,,Independence,OH,,Gastropub,,,,,,,,Lead from Delmonicos,,,,,
John'S Food and Wine,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Josephine,customer,,C,,,,,,,,,Casual,,,,,,,,,,,,,
Joy Yee,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Joy Yee Noodle,customer,,B,,,,,,,,,Gastropub,,,,,,,,,,,,,
Joys Pizza,prospect,,B,,,,,,Brunswick,OH,,Fast food,,,,,,,,W/w Atalntic Distributor Rep JOSH CHAMBERS,,,,,
Joyworldmburger,customer,,A,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
Jp Graziano,prospect,,A,,,,,901 W Randolph St,Chicago,IL,60607,Italian,,,,,,,,,,,,,
Jqm Wholesale,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Jtm Food Group,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Juno,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Just a Dash Catering,customer,,A,,,,,9722 Parkway Drive,Highland,IN,46322,Caterer,,,,,,,,"angel perry, tiana johnson, nicole ward",,,,,
K. Lefkofsky,distributor,,A,,,,,,,MI,,Distributor,,,,,,,,,,,,,
Kasama,unknown,,C,,,,,,,,,,,,,,,,,,,,,,
Kasia,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Kathryn�S Place,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Kettering Health,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Key Food Services Co,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Kims Uncle Pizza,customer,,A,,,,,,,,,Casual,,,,,,,,,,,,,
"King Kold, INC",distributor,,A,,,,,,Englewood,OH,,Distributor,,,,,,,,,,,,,
Kings Dining & Entertainment,customer,,A,,,,,,,,,Entertainment/Casinos/Theatres,,,,,,,,,,,,,
Kings Fish & Chicken - Mattesson,customer,,B,,,,,"400 N. Wells Street, Chicago, Illinois",Chicago,IL,,Casual,,,,,,,,,,,,,
Kings Pizza of Rosebud,customer,,C,,,,,,,,,Pizza,,,,,,,,,,,,,
Kinzie Chophouse,customer,,C,,,,,,,,,Fine Dining,,,,,,,,,,,,,
Kit Kat Lounge,prospect,,C,,,,,,Chicago,IL,,Bar/Lounge,,,,,,,,,,,,,
Kl Trading,unknown,,D,,,,,,,,,,,,,,,,,,,,,,
Kraft Heinz Company,customer,,A,,,773-604-8769/312-666-9090,,2423 N. Milwaukee,Chicago,IL,,Chain/Group Member,,,,,,,,Sent email to Nick asking for path to present,,,,,
Kuma'S Korner,customer,,A,,,,,2900 W Belmont Ave,Chicago,IL,,Gastropub,,,,,,,,,,,,,
Kuna Meat - E. Peoria,distributor,,A,,,,,,,IL,,Distributor,,,,,,,,,,,,,
Kwiktrip,customer,,D,,,,,,,,,Chain/Group Member,,,,,,,,,,,,,
