name,organization_type,parent_organization_id,priority,segment_id,website,phone,email,address,city,state,postal_code,notes,logo_url,linkedin_url,annual_revenue,employee_count,founded_year,tax_identifier,context_links,sales_id,created_by,updated_by,deleted_at,import_session_id
Critchfield Meats Whsl.,distributor,,A,,,,,,,KY,,Type: Distributor,,,,,,,,,,,,
Crown Republic Gastropub,customer,,A,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Crown Restaurant Group,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Crs One Source,distributor,,A,,,,,,Paducah,KY,,"Type: Distributor

Sales Notes: Edgar is Director of Sales",,,,,,,,,,,,
Crumb Crusher,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Crushed Pizzeria,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Crust Brewing,customer,,A,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Culinary Misfits,customer,,D,,,,,,Crown Point,IN,,"Type: Gastropub

Sales Notes: Chef Erin",,,,,,,,,,,,
Cumin Bowl,customer,,C,,,,,,,,,Type: Ethnic,,,,,,,,,,,,
Curts Cafe,customer,,C,,,+1-847-748-8086,,766 2nd St,Higland Park,IL,60035,"Type: Casual

Sales Notes: Two locations, Highland Park and Evanston",,,,,,,,,,,,
Cynergy Bakes,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Dabney and Company,customer,,A,,,,,,,MI,,Type: Gastropub,,,,,,,,,,,,
Daisies,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Daisies Poorboy and Tavern,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Dalmares Produce,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Danny'S,unknown,,D,,,,,,,,,,,,,,,,,,,,,
"Dar Baklava, LLC",unknown,,D,,,,,,,,,,,,,,,,,,,,,
D'Asti Deli,unknown,,D,,,,,1410 Irving Park Rd,Bensenville,IL,,Sales Notes: Left samples with Manager Meme; garlic prefered,,,,,,,,,,,,
Dave & Buster'S Rosemont,customer,,A,,,+1-773-987-1128,,"9870 Berwyn Ave Des Plaines, Il",,IL,,Type: Chain/Group Member,,,,,,,,,,,,
Dave & Buster'S Schaumburg,customer,,A,,,+1-850-345-0276,,"601 N Martingales Rd Schaumburg, Il",,IL,,Type: Chain/Group Member,,,,,,,,,,,,
Dawg House,prospect,,B,,,,,,Elyria,OH,,"Type: Fast food

Sales Notes: W/w Atalntic Distributor Rep JOSH CHAMBERS",,,,,,,,,,,,
Dear Margaret,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Dearly Beloved,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Delco Foods,distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
Delmonico,customer,,A,,,,,,Independence,OH,,Type: Fine Dining,,,,,,,,,,,,
Delwood,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Demera,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Deniro Cheese Co,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Depaul University,customer,,C,,,,,,,,,Type: College & Universites,,,,,,,,,,,,
Derosa Corporation,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Diageo Beer Company,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Dilgard Foods Company,distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
Dineamic Hospitality,customer,,A,,,,,,,,,"Type: Management company

Sales Notes: Bar La Rue, La Sierra Prime and Provisions, Lyra, Violi, Sienna Tavern, Bandit, Barrio, Blanks Bar, Builders Building, Dineamic Catering",,,,,,,,,,,,
Dirty Franks,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Discount Pizza Supply,distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
District 6 Restaurant,unknown,,C,,,,,,,,,,,,,,,,,,,,,
"Dixon Fisheries, INC",distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Dmk Burger Bar,customer,,B,,,,,1410 S. Special Olympics Drive,,,,Type: Gastropub,,,,,,,,,,,,
Dog House,prospect,,B,,,,,,Brunswick,OH,,"Type: Fast food

Sales Notes: W/w Atalntic Distributor Rep JOSH CHAMBERS",,,,,,,,,,,,
Dog N Suds Drive in,customer,,B,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Donato'S,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Dorthy Lane Market,prospect,,C,,,,,,Dayton,OH,,"Type: Retail

Sales Notes: talkd about poke they get bulk seafood and poke mix from NOH",,,,,,,,,,,,
Dosbros,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Dot,customer,,A,,,,,,,,,"Type: College & Universites

Sales Notes: NACUFS SHOWCASE EAST AND SOUTH USA",,,,,,,,,,,,
Dots Platform,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Double B Distributors,distributor,,A,,,,,,,KY,,Type: Distributor,,,,,,,,,,,,
Dovetail,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Dp Dough,customer,,B,,,,,,,,,Type: Casual,,,,,,,,,,,,
Drake,customer,,A,,,,,,,,,"Type: Chain/Group Member

Sales Notes: Samples left. Champion is Brian. HQ call. Gfs supplied. Brent to pursue.",,,,,,,,,,,,
Drake Oakbrook,customer,,A,,,,,,,,,Type: Hospitality,,,,,,,,,,,,
Drury Lane,customer,,A,,,,,"100 Drury Lane Oakbrook Terrace, Il",,,,"Type: Entertainment/Casinos/Theatres

Sales Notes: Emailed on Proper Stock CATMAN identification-on 8/19 identified Catman who is Lauren Vanryn. Our timing is excellent as this category is up for review in a month or so and they will likely request samples and a presentation.",,,,,,,,,,,,
"Drury Lane Theatre, Banquet Hall",customer,,C,,,,,Countryside,,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Dtm Distributors,distributor,,A,,,,,,Bowling Green,KY,,"Type: Distributor

Sales Notes: email Virginia to see if we can show samples",,,,,,,,,,,,
Duane S. Rahe INC,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Dublin Hall Irish,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Ducky'S,customer,,C,,,,,,Fort Wayne,IN,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Dukes Alehouse,customer,,A,,,,,,,,,"Type: Gastropub

Sales Notes: They use our SWAP chicken.",,,,,,,,,,,,
Dusty,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Dutch Valley Schlabach,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
"E & S Sales, LLC",distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
E.T.C.,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Earl G. Dumplins,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
East Bank Club,customer,,A,,,,,500 N Kingsbury St,Chicago,IL,60654,"Type: Entertainment/Casinos/Theatres

Sales Notes: 1/31/25 Tessa is no longer the rep here, she has been promoted to a corporate role. Will try to find the new rep.",,,,,,,,,,,,
East End Tap,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Eating to Live LLC,unknown,,D,,,,,,,,,,,,,,,,,,,,,
El Ideas,unknown,,C,,,,,,,,,,,,,,,,,,,,,
El Salto,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Elegante Cuisine,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Eleven City,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Elohi Strategic Advisors,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Elsie,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Empire Burger,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Entourage,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Enzo'S Bar,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Epic,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Erb Meat Company,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Ernst Hotel Supply Co,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Esme,customer,,B,,,,,2200 N Clark St Suite B,Chicago,IL,,Type: Fine Dining,,,,,,,,,,,,
Especially,customer,,B,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Essential Kitchen & Essential Kitchen Cafe,prospect,,C,,,,,1405 Hunt Club Rd,Gurnee,IL,,Type: Meal Prep Service,,,,,,,,,,,,
"E-Tailer, INC",unknown,,D,,,,,,,,,,,,,,,,,,,,,
Etc,customer,,B,,,,,404 S Wells St,Chicago,IL,,"Type: Fine Dining

Sales Notes: Opens Dec. 5th",,,,,,,,,,,,
Euclid,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Eurest,customer,,A,,,,,,,,,Type: Management company,,,,,,,,,,,,
Eurest Dining,customer,,A,,,,,,,,,Type: Management company,,,,,,,,,,,,
European Imports,prospect,,A,,,,,,,,,Type: Group Purchasing Organization,,,,,,,,,,,,
Even Odds,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Ever,customer,,A,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Evil Chech (Brewery& Public House?),customer,,B,,,,,3703 N Main St,Mishawaka,IN,,Type: Gastropub,,,,,,,,,,,,
Factor75,prospect,,A,,,,,,Burr Ridge,IL,,"Type: Meal Prep Service

Sales Notes: Chris is Manager at Burr Ridge location. Chris referred me to Director of Procurment, Kate HealyMeal prep chef Pete balodimas buyer Matt Horgan. Chef Kyle VerVynck",,,,,,,,,,,,
Fairmont Chicago,customer,,A,,,,,200 North Columbus Dr,Chicago,IL,60601,"Type: Fine Dining

Sales Notes: Testa Kristen lead for VAF; Chef Elton",,,,,,,,,,,,
Falco'S Pizza,customer,,C,,,+1-630-654-4644,,561 S Fontage Rd,Burr Ridge,IL,60527,"Type: Pizza

Sales Notes: Gave a kaufhold's sample kit to the manager and tried one of the flavors. Need to follow up",,,,,,,,,,,,
Family Express,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Family Produce Food Servi,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Farmhouse Academy,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Fat Angelo'S of Bridgeport,customer,,C,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Fatkats Pizzaeria and Restaurant,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Fazoli'S,customer,,A,,,,,So Many in Indiana,,IN,,Type: Chain/Group Member,,,,,,,,,,,,
Ferrara Candy Company,prospect,,D,,,,,,,,,Type: Industrial,,,,,,,,,,,,
Ferris Coffee and Nut Co,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Fine Arts Bistro,customer,,C,,,,,,Glasgow,KY,,"Type: Casual

Sales Notes: emailed about samples interest",,,,,,,,,,,,
Fira,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Fire Bar+Grill,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Firekeepers Casino Hotel,customer,,B,,,,,,,,,"Type: Entertainment/Casinos/Theatres

Sales Notes: Emailed on 8/19.Executive Chef Brandon Lester; sous chef Everett morris and buye Megan mead",,,,,,,,,,,,
Flik Hospitality,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Food & Paper Supply Co,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Food Distributors INC,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Food Export - Midwest,unknown,,D,,,,,,,,,,,,,,,,,,,,,
"Food Technology Magazine, Institute of Food Technologists",unknown,,D,,,,,,,,,,,,,,,,,,,,,
Foodmix,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Foodservice Database Co,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Fop Restaurant,customer,,C,,,,,,,,,Type: Casual,,,,,,,,,,,,
Forage Public House,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Forbidden Root,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Ford Center Arena Evsnsville,customer,,B,,,,,,,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Ford Center Executive Chef,customer,,B,,,,,,,,,Type: Entertainment/Casinos/Theatres,,,,,,,,,,,,
Fortune Fish,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Fortune Fish & Gourmet,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
Foundry Kitchen and Bar,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Four Pegs,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Four Seasons Hotel Chicago,customer,,A,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Four Star Foods,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Fox Supply,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Fox Valley Farms,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Franciscan Hospital,prospect,,A,,,,,,,,,Type: Healthcare,,,,,,,,,,,,
Frank and Mary'S Tavern,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Franklin Room,customer,,B,,,+1-312-445-4686,,675 N�Franklin�St.,Chicago,IL,,"Type: Gastropub

Sales Notes: Delivered FS samples per Flip'a request",,,,,,,,,,,,
Freedom Brothers Pizzeria & Alehouse,customer,,D,,,,,,,,,Type: Pizza,,,,,,,,,,,,
Freelance,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Freezpak,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Fresh Creations LLC,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Frisch Big Boy,customer,,A,,,,,,,,,Type: Casual,,,,,,,,,,,,
Froelichs,unknown,,C,,,,,,,,,Sales Notes: FS-bought Cottage,,,,,,,,,,,,
Front Street Social,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Frontera,customer,,A,,,,,,,,,Type: Ethnic,,,,,,,,,,,,
Fuego Tacos,unknown,,B,,,,,,,,,,,,,,,,,,,,,
Fuel Nutrition,prospect,,C,,,+1-270-799-7784,,3278 Nashville Rd,Bowling Green,KY,42104,Type: Bar/Lounge,,,,,,,,,,,,
Fujiyama Steakhouse of Japan,customer,,C,,,,,,,,,Type: Ethnic,,,,,,,,,,,,
Fulton Troika,distributor,,A,,,,,,Chicago,IL,,Type: Distributor,,,,,,,,,,,,
Gabby Goat American Pub and Grill,customer,,D,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Gaelic Park,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Gage Hospitality Group,customer,,A,,,+1-312-372-4001,,18 S. Michigan Avenue Ste 1100,Chicago,IL,,"Type: Management company

Sales Notes: ACANTO, Coda di volpe, dawson, The Gage",,,,,,,,,,,,
Gag'S Chicken,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Galant Food Company,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Galena Associates INC,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Galit,customer,,C,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Garda'S,prospect,,C,,,,,,,,,Type: Italian,,,,,,,,,,,,
Gather,customer,,C,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Gelardi Produce,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Gelsosomo'S Pizzeria,customer,,A,,,,,,,,,Type: Pizza,,,,,,,,,,,,
Gemato'S Wood Pit BBQ,customer,,C,,,+1-708-361-4200,,6701 W 11th St,Worth,IL,,"Type: Casual

Sales Notes: Met Jose (owner) and dropped off samples. Wants table tents. 11-12-24",,,,,,,,,,,,
Georgia State,customer,,A,,,,,,,,,"Type: College & Universites

Sales Notes: NACUFS SHOWCASE EAST AND SOUTH USA",,,,,,,,,,,,
Gerolissimo,customer,,A,,,,,,,,,Type: Pizza,,,,,,,,,,,,
Get Fresh Produce,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service - D,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service - M,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service - Q,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
Ghost Writer,customer,,C,,,,,49 1/2 S Main St,Johnstown,OH,43031,"Type: Gastropub

Sales Notes: Shipped Chef Bradley Baluch a Annasea sample pack",,,,,,,,,,,,
Gianni'S Cafe,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Gibson'S Rosemont,customer,,A,,,,,"5464 N River Road, Rosemont, Il",,,,"Type: Chain/Group Member

Sales Notes: 14 locations in four states Gibson's bar and steakhouse Hugos, frog bar and Fish House, Lux bar, Cortino restaurant and wine bar Gibson's Italia. The boathouse also manages RL restaurant the polo bar in New York on behalf of Ralph Lauren, RL restaurant, Chi socks, bar, and grill and Hugos, frog bar and chophouse in rivers Casino and sugarhouse casino.",,,,,,,,,,,,
Gilt Bar,customer,,A,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Gino'S East,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Gino'S Prime - Dyer,customer,,B,,,,,,,,,Type: Fine Dining,,,,,,,,,,,,
Giordano'S,customer,,A,,,,,,,,,Type: Pizza,,,,,,,,,,,,
Glass City Food Service,distributor,,A,,,,,,Toledo,OH,,Type: Distributor,,,,,,,,,,,,
Gnome Town,customer,,A,,,,,,Fort Wayne,IN,,Type: Chain/Group Member,,,,,,,,,,,,
Go Grocers,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Goblin and Grocer,customer,,A,,,,,,,IL,,"Type: Caterer

Sales Notes: GFS ROSEMONT F/U",,,,,,,,,,,,
Godess and Grocer,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Gold Star,unknown,,B,,,,,,,,,,,,,,,,,,,,,
Golden Boy BBQ,customer,,A,,,,,551 S York St,Elmhurst,IL,60126,Type: Casual,,,,,,,,,,,,
Good to Go Food,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Goosefoot,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Gordon Food Service - Brighton DC,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service - Clay Ave DC,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service - Dock #7,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service - Epo,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service - Epo Refrig/Froz,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service - Fed Ex Only,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service - Green Oak DC,distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service - Shepherdsville DC,distributor,,A,,,,,,,KY,,Type: Distributor,,,,,,,,,,,,
Gordon Food Service - Springfield DC,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
Goshen Brewing,customer,,C,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Gottleib Memorial,prospect,,A,,,,,,,IL,,"Type: Healthcare

Sales Notes: GFS ROSEMONT F/U",,,,,,,,,,,,
Gourmet Gorilla,customer,,C,,,,,,,,,Type: Casual,,,,,,,,,,,,
Grand Valley State University,customer,,B,,,,,,,,,Type: College & Universites,,,,,,,,,,,,
Great Harvest,customer,,A,,,,,,Crown Point,IN,,"Type: Chain/Group Member

Sales Notes: gluten free opportunity. sent lead to Carol.Await their reply",,,,,,,,,,,,
Greco,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
Greco Pa,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
Green Street Smoked Meats (Hogsalt),customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Greenbush,customer,,B,,,,,,,,,"Type: Gastropub

Sales Notes: FS sampled thru PFG-awaiting",,,,,,,,,,,,
Greenleaf Foods,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Greenntop Tavern,customer,,A,,,,,,,MI,,Type: Gastropub,,,,,,,,,,,,
Greenwood Associates,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Greystone Tavern,customer,,C,,,,,,,,,"Type: Gastropub

Sales Notes: Chef wants gluten free cheese curds. Ours aren't.",,,,,,,,,,,,
Grindstone Taphouse,unknown,,B,,,,,,,,,,,,,,,,,,,,,
Guckenheimer,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Guest Supply - Chicago Sysc,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Gvsu,customer,,A,,,,,,,MI,,Type: College & Universites,,,,,,,,,,,,
Gyros and More,prospect,,B,,,,,,Lorain,OH,,"Type: Fast food

Sales Notes: W/w Atalntic Distributor Rep JOSH CHAMBERS",,,,,,,,,,,,
Hacienda Calavera,customer,,A,,,,,5503 W Cermak Rd,Cicero,IL,60804,Type: Ethnic,,,,,,,,,,,,
Half Acre,customer,,C,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Halls Chophouse,customer,,C,,,,,1600 West End Ave #101,Nashville,TN,37203,"Type: Fine Dining

Sales Notes: Shipped Chef Josh a box of Annasea tuna and salmon",,,,,,,,,,,,
Hammerheads,customer,,C,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Harbor Shores,prospect,,B,,,,,,,,,"Type: Country Clubs/Golf/Health Fitness

Sales Notes: FS sampled. Like 3/8-GFS",,,,,,,,,,,,
Harold'S,unknown,,B,,,,,,,,,,,,,,,,,,,,,
Harrison Lake Country Club,customer,,B,,,+1-312-828-0966,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Harry Carey (8) Lombard Rosemont River North Navy Pier Mag Mile,customer,,A,,,,,,,,,Type: Casual,,,,,,,,,,,,
Harvest Bar and Kitchen,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Harveys,prospect,,A,,,,,,Saginaw,MI,,"Type: Vegan/ Vegetarian

Sales Notes: meeting-awaiting assigned sales rep names",,,,,,,,,,,,
Harveys on the Mall,customer,,A,,,,,,,MI,,Type: Gastropub,,,,,,,,,,,,
Hayah Treats,customer,,D,,,,,,,,,"Type: Gastropub

Sales Notes: FS reviewed and sampled. GFS",,,,,,,,,,,,
Haymarket Brewery,customer,,A,,,+1-312-374-3013,,2001 W. Grand Ave,Chicago,IL,60612,Type: Chain/Group Member,,https://www.heislerhospitality.com,,,,,,,,,,
Heisler Hospitality,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Hello Fresh,prospect,,A,,,,,,Aurora,IL,,"Type: Meal Prep Service

Sales Notes: Initial email to Kate Healy on 1/27",,,,,,,,,,,,
Heritage,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Hermosa,unknown,,D,,,,,,,,,,,,,,,,,,,,,
High Dive,customer,,A,,,,,,,MI,,Type: Gastropub,,,,,,,,,,,,
High Horizon(Ky Horse Park),unknown,,C,,,,,,,,,,,,,,,,,,,,,
Hillcrest Cc,prospect,,C,,,,,,,,,Type: Country Clubs/Golf/Health Fitness,,,,,,,,,,,,
Hillcrest Foodservice,distributor,,A,,,,,,Cleveland,OH,,Type: Distributor,,,,,,,,,,,,
Hilton Oakbrook,customer,,A,,,,,,,,,Type: Hospitality,,,,,,,,,,,,
Hiraya Hospitality Collective,customer,,D,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
His Hospitality,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Hk Banjum Glenview INC,customer,,A,,,,,,,,,"Type: Chain/Group Member

Sales Notes: Owns 20 restaurants in four cities with over 1000 employees Chicago location and headquartered, Armitage ale House Astor Hall are Chevelle the steakhouse Sachiko meal doughnut vault guilt bar green Street smoked meats high five Ramen, la Ren� lobster bar monkey bar, Sada coffee small Cheval tivolimyavern SYSCO CONTRACT",,https://www.hogsalt.com,,,,,,,,,,
Hog Wild,prospect,,A,,,,,,,,,Type: Group Purchasing Organization,,,,,,,,,,,,
Hogsalt Hospitality Group,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Holy Grale,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Honey 1 BBQ,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Honey Berry,customer,,C,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Honey Jam Cafe,prospect,,A,,,+1-708-354-4880,,"181 Countryside Plaza,",Countryside,IL,60525,"Type: Breakfast/Brunch

Sales Notes: As of 1/31/25 we are 7 locations with the Kaufhold's cheese curds.",,,,,,,,,,,,
Hook Fish and Chicken,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Hookup LLC,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Hopcat,customer,,A,,,,,,,MI,,Type: Gastropub,,,,,,,,,,,,
Hopleaf,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Horseshoe Casino,customer,,A,,,+1-773-687-8667,,10 West Hubbard St./3651 W. Fullerton,Chicago,IL,,Type: Chain/Group Member,,,,,,,,,,,,
Hospitality Service Group,customer,,A,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Hr Clark General Store,prospect,,C,,,,,1001 a Dutch Creek Rd,Westmoreland,TN,,"Type: Travel

Sales Notes: Have bought 9 Cases of Dill Pickle Cheese Curds already thru Abdale looking to get the Thru DOT next",,,,,,,,,,,,
Ht Hackney Indy,distributor,,A,,,,,,Indianapolis,IN,,"Type: Distributor

Sales Notes: email to introduce MFB and lines we carry",,,,,,,,,,,,
Ht Hackney Gr,distributor,,A,,,,,,Grnd Rapids,MI,,"Type: Distributor

Sales Notes: email to introduce MFB and lines we carry",,,,,,,,,,,,
Ht Hackney(Paducah),distributor,,A,,,,,,Paducah,KY,,"Type: Distributor

Sales Notes: email to introduce MFB and lines we carry",,,,,,,,,,,,
Wild Egg,customer,,A,,,,,,Louisville,KY,,"Type: Chain/Group Member

Sales Notes: 20 stores",,,,,,,,,,,,
Hugo Fog Bar,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Hungry Howies,customer,,A,,,,,,,,,"Type: Chain/Group Member

Sales Notes: Email chef and will drop off sample box of fries",,,,,,,,,,,,
Hurtbourne Country Club (Louisville),prospect,,B,,,,,,,,,Type: Travel,,,,,,,,,,,,
Hyatt Lodge in Oakbrook,customer,,C,,,,,,,,,Type: Hospitality,,,,,,,,,,,,
Hyatt Regency Mccormick Place,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Hyles-Anderson College,customer,,A,,,,,8400 Burr Street,Crown Point,IN,46307,Type: College & Universites,,,,,,,,,,,,
I Took,unknown,,B,,,,,"180 N. Field Boulevard, Chicago, Illinois",Chicago,IL,,,,,,,,,,,,,,
"Illini Inst. Foods, INC",distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Illinois State University,customer,,A,,,,,,,,,Type: College & Universites,,,,,,,,,,,,
In the Game Hollywood Park,customer,,A,,,,,501 Cal Sag Road,Crestwood,IL,,"Type: Entertainment/Casinos/Theatres

Sales Notes: Desserts & Curds",,,,,,,,,,,,
Ina Mae,unknown,,B,,,,,,,,,Sales Notes: Chef David directs us thru Piazza and Harry Greene.,,,,,,,,,,,,
Indiana Concessions Suppl,distributor,,A,,,,,,,IN,,Type: Distributor,,,,,,,,,,,,
Indianhead Food Distributor,customer,,C,,,,,,Eau Claire,WI,,Type: Education K thru 12,,,,,,,,,,,,
