name,organization_type,priority,segment_name,phone,linkedin_url,address,city,state,postal_code,notes
Olga's Kitchens,unknown,D,,,,,,,,
Olivers Bar & Grill,prospect,D,Country Clubs/Golf/Health Fitness,,,,,,,Sampling chips-Sysco Chgo
Oliver's Bar& Grill,customer,C,Gastropub,,,6150 w 159th st,Oak Forest,IL,60452,George or Tim is the manager
Olympia Fields,prospect,A,Country Clubs/Golf/Health Fitness,,,,,,,
Omakase Yume,unknown,D,,,,,,,,
O'MARA FOODS,distributor,A,Distributor,,,,,IN,,
One Hope United,customer,B,Chain/Group,312-496-0012,,622 W. Randolph street UnitC-101,Chicago,IL,,Avac � big star-dubs not Sysco luncheonette � Publican � quality meats � the publican � the violet hour
One of a Kind Hospitality,customer,A,Management Company,,,,,,,
ONE OFF HOSPITALITY,customer,A,Management Company,,,,,,,Cooking and topping with cheese to show product and leaving him Samples
ONLY FRIES FOOD TRUCK BG,unknown,D,,,,,,,,
Open Kitchens,customer,A,Chain/Group,,,,,,,
Original Bagel & Bialy,customer,B,Fine Dining,3128775339,,"661 W. Walnut Street, Chicago",Chicago,IL,,
ORIOLE,unknown,C,,,,,,,,
ORLANDO GRECO & SON IMPOR,distributor,A,Distributor,,,,,IL,,
Osteria lang he,customer,D,Education,,,,,,,
P & L FOODSERVICE CO,distributor,A,Distributor,,,,,MI,,
Pancho Food Distibutors,distributor,A,Distributor,,,,Tinley Park,IL,,Met with Ken Stieger 1/24
PANCHO FOOD PRODUCTS,distributor,A,Distributor,,,,,IL,,
Panchos Taqueria & Catering,customer,C,Ethnic Cuisine,,,,,,,
Papi's Pizza,customer,C,Pizza,,,,Fort Wayne,IN,,
Pappas,customer,A,Chain/Group,,,2501 w. 16th street,Chicago,IL,,The Hampton social Nisos prime bass mint Costa the Hampton social
Parker restaurant Group,customer,A,Management Company,,,,,,,"+1 (312) 846-6158 1017 N Halsted St
Chicago, IL  60642
United States"
Parker's,customer,C,Fine Dining,,,,Downers Grove,,,
Parkhurst Dining,prospect,A,Chain/Group,,,,Pittsburgh,PA,,W/w sustainability and sourcing director for over 400 MW accounts served
Parlay Bar and Kitchen,customer,B,Entertainment,,,1100 Dennison Ave,Columbus,OH,43201,Shipped Director of Operations Joe Flynn(Peerless Managment Group) a Annasea sample Pack
Parts Town,customer,D,Pizza,,,,,,,
Pat's Pizza and Ristorante,unknown,D,,,,,,,,
Paulie Gee�s,unknown,D,,,,,,,,
Pavlou Group,customer,A,Chain/Group,,,,Valparaiso,IN,,"Chris Pavlou owns Radius, Maple and Bacon, TommyB's, Sandwich City and two more CP locations. Ched Edward at Maple and Chef Louis at Radius"
Ohio State,customer,A,Education,,,,,OH,,Sent TCFB Holiday promo
Peaches' Cafe/UofC,customer,A,Education,,,,,,,
Pear Chef,unknown,C,,,,,,,,
PECK DISTRIBUTING,distributor,A,Distributor,,,,MAPLE HEIGHTS,OH,,
PENN STATE,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
Penn Station,unknown,D,,,,,,,,"Buying USF Dill, low usage caused special order status"
Pepino's,unknown,D,,,,,,,,
PepsiCo,customer,C,Pizza,773-327-1512,,2207 n clybourn ave,Chicago,IL,,
Pequod's Pizza,customer,A,Pizza,847-470-9161,,8520 fernald ave,Morton Grove,IL,,
PERF FS/BOWLING GREEN,distributor,A,Distributor,,,,,KY,,
PERF FS/CINCINNATI,distributor,A,Distributor,,,,CINCINNATI,OH,,
Pescadon,customer,B,Fine Dining,,,,,,,
PFG,distributor,A,Distributor,,,,,,,
PFG Louisville,distributor,A,Distributor,,,,brea,OH,,will buy Bb dogs from gfs and katie swindrl
PFG Reinhart BG House,distributor,A,Distributor,,,,Bowling Green,KY,,
PFG Somerset KY,distributor,A,Distributor,,,,,KY,,
PFG=Jordan Gottlieb,unknown,D,,,,,,,,
PFS/CHICAGO,distributor,A,Distributor,,,,,IL,,
PFS/CHICAGO E&S,distributor,A,Distributor,,,,,IL,,
PFS/ELLENBEE,distributor,A,Distributor,,,,FAIRFIELD,OH,,
"PFS/OHIO, OH PIZZA PROD.",distributor,A,Distributor,,,,MONROE,OH,,
PFS/SOMERSET,distributor,A,Distributor,,,,,KY,,
Piazza,distributor,A,Distributor,,,,,,,Sent emil on TCFB Holiday Blitz
Picnic Digital Food Court,prospect,B,Fast food,,,,,,,
PICS PRODUCE INC.,distributor,A,Distributor,,,,CINCINNATI,OH,,
"Pier 48 Indy, LLC",unknown,B,,,,,,,,
Pilot project,unknown,C,,,,,,,,
Pine Rest,prospect,A,Healthcare,,,,Grand Rapids,MI,,Sam Butler dropped BB and LL samples off 1/28
Pinewood Social,customer,A,Chain/Group,,,,,,,
Gibsons,customer,A,Management Company,,,,,IL,,"RL, Hugo,Quartino, Lux Bar, Bazaar MLL, Bar Mar, Boathouse"
Pinstripes,customer,A,Management Company,,,,,,,
Pita Inn,unknown,D,,,,,,,,
Pizza Express,customer,C,Pizza,,,1224 Old Gallatin Rd,Scottsville,KY,42164,Reba and Jim owners tried the Bakeable curds looking to get them thru DOT Foods
Pizza Friendly Pizza -- 16 On Center,customer,D,Gastropub,,,,,,,Sampled thrunPFG rep-twice the cost-15k #!annually/2) flip sends Brady connect with investor Mike Schatzman
Planeterians,unknown,A,,,,,,,,
Planks Tavern on the Water,customer,A,Gastropub,,,,,,,
Plantastic Indy,unknown,D,,,,,,,,
Planteneers,customer,B,Gastropub,17735237437,,"2119 s halsted st, Chicago, IL",Chicago,IL,,
Pleasant House Pub,unknown,C,,,,,,,,
Plymouth Place,unknown,C,,,,820 N La Salle Dr,,,,
POINTE DAIRY SERVICE,distributor,A,Distributor,,,,,MI,,
POLLAK DIST CO INC,distributor,A,Distributor,,,,EUCLID,OH,,
Pompette,unknown,D,,,,,,,,
"POOLE FOODS, INC.",distributor,A,Distributor,,,,,IN,,
Porkys BBQ & Grill,unknown,C,,,,,,,,
Porky's BBQ & Grill,unknown,D,,,,,,,,
Port Drive In,customer,B,Chain/Group,,,2501 w. 16th street,Chicago,IL,,Likes product. Cutting. Craig will follow up. 8/19
Portillo's,customer,B,Chain/Group,,,"1000 W. Fulton market, Chicago, Illinois",Chicago,IL,,
Portillo's Hot Dogs,unknown,A,,,,,,,,
Porto,customer,B,Fine Dining,,,,,,,
Postboy,customer,A,Chain/Group,,,1509 Chapel Drive,Chicago,IL,,
Potbelly,unknown,A,,,,,,,,Spoke on FS. Will connect us will potential customers
PREMIER PRODUCE,distributor,A,Distributor,,,,CLEVELAND,OH,,
PREMIER PRODUCE/COLUMBUS,distributor,A,Distributor,,,,COLUMBUS,OH,,
US FOODS-Wixom,distributor,A,Distributor,,,,,MI,,emailed Rick-phoned left vm.
US FOODS-Detroit,distributor,C,Distributor,,,,,,,Emailed announcing TCFB Holiday and McCrum representation
US FOODS-Cincinnatti,distributor,A,Distributor,,,,,OH,,Emailed announcing TCFB Holiday and McCrum representation
US FOODS-Nashville,distributor,A,Distributor,,,,,TN,,Emailed announcing TCFB Holiday and McCrum representation
US FOODS-Chicago Corp,distributor,A,Distributor,,,,,IL,,Emailed announcing TCFB Holiday and McCrum representation
US FOODS-Chicago Chicago,distributor,A,Distributor,,,,,IL,,Emailed announcing TCFB Holiday and McCrum representation
US FOODS-Chicago Bensenville,distributor,A,Distributor,,,,,IL,,Emailed announcing TCFB Holiday and McCrum representation
US FOODS-Chicago Aurora,distributor,A,Distributor,,,,,IL,,Emailed announcing TCFB Holiday and McCrum representation
US FOODS-Milwaukee,distributor,A,Distributor,,,,,IL,,Emailed announcing TCFB Holiday and McCrum representation
US FOODS-Baraboo,distributor,A,Distributor,,,,,,,Emailed announcing TCFB Holiday and McCrum representation
Prepared Foods Magazine,customer,B,Fine Dining,+1 (312) 726-7777,,"222 n lasalle blvd, Chicago, IL",Chicago,IL,,
Prima,customer,C,Casual Dining,,,,,,,
Prime and provisions,unknown,A,,,,,,,,
Prime Steak,customer,A,Fine Dining,,,,,,,Dropped off sample kit with bartender of behalf of rep. Very busy when I visited.
Principal,customer,A,Fine Dining,,,,,MI,,
Progress Bar,unknown,C,,,,,,,,
Prosperity Social Club,customer,D,Casual Dining,,,,,,,
Provecho,customer,A,Chain/Group,312-404-0440,,332 East Illinois St.,Chicago,IL,60611,
Proximo,customer,A,Chain/Group,,,,Fort wayne,IN,,
Psquare Hospitality,customer,A,Education,,,,,,,Ashley passes on VA
Public Bar,unknown,D,,,,,,,,
Pui Tak Center,unknown,D,,,,,,,,
Purdue,customer,C,Education,,,,,,,
PURDUE,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
PURDUE UNIVERSITY NORTHWEST,unknown,D,,,,,,,,
Purple Carrot,unknown,C,,,,,,,,
Quartino Ristorante,prospect,A,Chain/Group,,,,,,,
Quest,prospect,A,Chain/Group,806) 773-8087,,2500 South Highland Avenue,Lombard,IL,60148,"Chef Juan Zuniga is no longer at Quest, he had been our previous MFB champion at Quest. I will now pursue Shelly Robinson, VP of procurement."
Quest (Wright State University),customer,A,Management Company,,,,Dayton,OH,,email Jason Roller to see what the next steps were to sampling some products
Quest Food Management Services,customer,A,Management Company,410) 764-0539,,400 Red Brook Blvd #120,Elk `grove,IL,21117,As of 1/31/25 Sue and I found that Chef Juan Zuniga is no longer at Quest. This would mean our communication now has to go thru sheryll.
R.D.P. FOODSERVICE,distributor,A,Distributor,,,,HILLARD,OH,,
R.D.P. FOODSERVICE FROZEN,distributor,A,Distributor,,,,COLUMBUS,OH,,
Rail House Bar,prospect,C,Bar/Lounge,,,,Round Lake,IL,,Lead came in from USF Rep Lori Taylor.
RAISU,unknown,C,,,,,,,,
Ralston's,unknown,D,,,,,,,,
RATIONAL USA,prospect,B,Country Clubs/Golf/Health Fitness,,,,,,,
Ravisloe,prospect,B,Country Clubs/Golf/Health Fitness,,,,,,,
rawley inn,customer,A,Gastropub,,,,Independence,OH,,Lead from Delmonicos
Raydia,distributor,A,Distributor,,,,south bend,,,
RDV Corp,customer,B,Fine Dining,,,,,,,
Recess,customer,B,Fine Dining,,,,,,,Greg Youra USF rep positioning Waffle fry
Redamak,customer,A,Chain/Group,2698573501/6165507847,Kobrien@redwaterrestaurants.com,,,,,"Wrote to KIM OBRIEN GM ; MET CHEF ANDREW,"
redwater,customer,A,Chain/Group,,,,,MI,,
Redwater restaurant GROUP,customer,A,Fine Dining,,,,,,,
Renaissance Schaumburg,customer,A,Hospitality,,,,,,,
Republica,unknown,D,,,,,,,,
Rewards Network,unknown,D,,,,,,,,
RHF,unknown,C,,,,,,,,
RHODE ISLAND SCHOOL,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
RICHWAY,unknown,C,,,,,,,,
ridge cc,prospect,A,Country Clubs/Golf/Health Fitness,,,,,IL,,GFS ROSEMONT F/U
Ridge Country Club,prospect,C,Country Clubs/Golf/Health Fitness,,,,,,,
Ridgemoore Country Club,prospect,C,Country Clubs/Golf/Health Fitness,,,,,,,
RIGHTWAY FOOD SERVICE,distributor,A,Distributor,,,,LIMA,OH,,
"RITCHIE'S FOOD DIST., INC",distributor,A,Distributor,,,,PIKETON,OH,,
River City Drafthouse,unknown,D,,,,,,,,"Left Sample kit, I imformed Greco Jim, follow up next week"
RIVER FINN LLC.,distributor,A,Distributor,,,,,IL,,
RJC,principal,C,Casual Dining,,,,,,,
Robinson `ribs,customer,D,Chain/Group,,,,,,,
Rob's Meat,unknown,B,,,,,,,,
Roc City Bar and Grill,unknown,C,,,,,,,,
Rockmill Tavern,unknown,D,,,,,,,,
Rockmill Tavern/bandits,unknown,D,,,,,,,,
Rogers Park Restaurant,unknown,C,,,,,,,,
ROINS PRODUCE INC,distributor,A,Distributor,,,,CHICAGO,IL,,
Rolf and Daughters,unknown,D,,,,,,,,
Roman Village,unknown,D,,,,,,,,
Romeo pizza,customer,C,Chain/Group,,,,,,,
Roots & Vine Produce And Cafe,unknown,B,,,,954 California Ave,Chicago,IL,,
Roots Pizza,customer,A,Pizza,(773) 645-4949,,1924 W Chicago Ave,Chicago,IL,60622,Paul Spinale requested we bring his brands here. This will be a cold lead.
Roots Pizza,customer,B,Pizza,,,,Chicago,IL,,Plant Based cheese focus
Rootstock Wine and `beer Bar,customer,B,Chain/Group,,,,,,,
Rosati's,customer,D,Chain/Group,,,,,,,
Rose Mary,customer,B,Chain/Group,,,,,,,Left FS and VAF with Chef Brian; follow-up needed
"Rosebud steakhouse (Munster, IN)",customer,D,Chain/Group,,,,,,,
ROSELLI WHSL FOODS INC.,distributor,A,Distributor,,,,,MI,,
Route 66,unknown,C,,,,,,,,
Rowley Inn,unknown,B,,Chef John-585.356.8752,,71 E Wacker Dr,Chicago,IL,,
Royal Sonesta Downtown/River North,customer,A,Fine Dining,,,"66 W. Kinsey Street, Chicago, Illinois",Chicago,IL,,
RPM STEAK,customer,A,Chain/Group,,,,Chicago,IL,,
Ruby Tuesday,customer,A,Chain/Group,,,,,,,
Rumi Grill Inc,unknown,D,,,,,,,,
Rush Medical Center,unknown,A,,,,,,,,
Russ,customer,A,Chain/Group,,,,holland,MI,,Connected with Gm amd GFs rep
Rusty Bucket,customer,A,Gastropub,6146211105,,390 W Nationwide Blvd,Columbus,OH,43215,Shipped Chef Anthony MacAdam of Cameron Mitchell (Rusty Bucket)
Rusty's Lakeside Pub,unknown,D,,,,,,,,
Ruth Lake Country Club,unknown,D,,,,,,,,
Ryan's Creekhouse,customer,C,Casual Dining,,,,,,,
S2 City Grill & Daiquiri Bar,unknown,D,,,,,,,,
S2 Express Grill,customer,C,Entertainment,630-530-4649,,701 w north ave,Villa Park,IL,,
Safari Land,unknown,D,,,,,,,,
Salt and Vinegar Lexington KY,unknown,D,,,,,,,,
salt of the earth,customer,A,Gastropub,,,,Saugatuck,MI,,erun rogers plant based leads gfs
SALT.,customer,D,Chain/Group,,,,,,,
Salvatores,customer,A,Chain/Group,,,,Fort wayne,IN,,8nstore chain
SANTISI WHOLESALE FOOD CO,distributor,A,Distributor,,,,YOUNGSTOWN,OH,,
saugataco,customer,A,Gastropub,,,,Saugatuck,MI,,erun rogers plant based leads gfs
Saz's Hospitality Group,unknown,D,,,,,,,,Follow-up w/Don 8/19
Schoops,customer,B,Casual Dining,,,,,,,
Schwa,unknown,C,,,,,,,,Met with owner Patrick . Loved the garlic and dill. Wants a garlic curd burger.
Scratch Kitchen,customer,B,Fine Dining,,,,,,,
SEAFOOD MERCHANTS LTD,distributor,A,Distributor,,,,,IL,,
SEASONS FOOD SERVICE,distributor,A,Distributor,,,,CHICAGO,IL,,
Senate,unknown,D,,,,,,,,
Seoul Bites,customer,B,Fine Dining,(312) 441-1920,,"123 N Jefferson St, Chicago, IL 60661",Chicago,IL,,
Sepia,unknown,A,,,,,,,,
SFG,unknown,C,,,,,,,,
SFS DIST - SKOUFIS FOOD,distributor,A,Distributor,,,,CHICAGO,IL,,
shakespears,customer,A,Gastropub,,,,,MI,,
Shakou,unknown,D,,,,,,,,
Shallot's Bistro,customer,C,Fine Dining,,,,Skokie,IL,,Lead from Lauren Scatena.
Shamrocks (Patchen),unknown,D,,,,,,,,
Shamrocks(Brannon Crodding),unknown,C,,,,,,,,
SHANGHAI TERRACE,customer,B,Fine Dining,,,,,,,
Shaw's crabhouse,unknown,A,,,,,,,,
Shedd Aquarium,customer,A,Entertainment,,,,,,,
Sheraton Grand,unknown,B,,,,,,,,
SHERWOOD FOODS-CLEVELAND,distributor,A,Distributor,,,,MAPLE HEIGHTS,OH,,
SHERWOOD FOODS-DETROIT,distributor,A,Distributor,,,,,MI,,
Shoreline Brewery,customer,B,Gastropub,,,,,,,
shulers,customer,A,Fine Dining,,,,,MI,,
SIDARI'S ITALIAN FOODS,distributor,A,Distributor,,,,CLEVELAND,OH,,
Side Door,unknown,D,,,,,,,,Will visit with cheese curds.
Side Lot Brewing,customer,B,Gastropub,+1 (312) 595-1322,,"51 w kinzie st, Chicago, IL",Chicago,IL,,
Siena Tavern,customer,B,Fine Dining,773-572-1622,,"1312 S. Wabash Ave., Chicago, IL",Chicago,IL,,
Signature bar and restaurant,unknown,B,,,,,,,,
Silver Harbor Brewery,unknown,B,,,,,,,,
Silver Spring House,customer,C,Gastropub,,,,Cincinnati,OH,,
SIRNA & SONS,distributor,A,Distributor,,,,RAVENNA,OH,,
Ski Daddy's,customer,C,Casual Dining,270-904-2995,,160 Rivern Pl Ave,Bowling Green,KY,42101,
Skoogs,customer,B,Fine Dining,,,,,,,
SKY,unknown,A,,,,,,,,
SKY CLUB,unknown,C,,,,,,,,
Slyce,unknown,D,,,,,,,,
Slymans Deli,customer,A,Chain/Group,,,,Independence,OH,,
Smack Dab Chicago,customer,B,Chain/Group,,,"192 E. Walton Street, Chicago, Illinois",Chicago,IL,,
Small Cheval,customer,A,Chain/Group,,,,,,,
SMITH FAMILY FOODS,distributor,A,Distributor,,,,TIFFIN,OH,,
SMITHHISLER MEATS,distributor,A,Distributor,,,,MOUNT VERNON,OH,,
Smoke Daddy,customer,B,Chain/Group,,,3800 N. Pulaski Road,Chicago,IL,,
Smoque,customer,A,Chain/Group,,,,,,,"3800 N. Pulaski
Chicago, IL 60641
773-545-7427"
Smyth,unknown,C,,,,,,,,
Sochi,customer,D,Gastropub,,,,,,,Presented garlic curds. They ordered on the spot
Social 219,customer,B,Casual Dining,,,,,,,"Cut and won vs Lamb Stealth fry; initially price and avialbility an Issue, now just price. Still working woth Martin and Carlota on this account."
Sociale,customer,B,Fine Dining,,,,,,,"Cut and won vs Lamb Stealth fry; initially price and avialbility an Issue, now just price. Still working woth Martin and Carlota on this account."
Sociale1,unknown,D,,,,,,,,
SOFO FOODS OF OHIO,distributor,A,Distributor,,,,TOLEDO,OH,,
Sofo Foods OH,distributor,A,Distributor,,,,,,,
SoJu BBQ,unknown,C,,,,,,,,
Sol de Mexico,unknown,D,,,,,,,,
Soul and smoke,unknown,D,,,,,,,,
Soul Veg City,unknown,D,,,,,,,,
Soul Vibez,unknown,D,,,,,,,,
Sould VIbez,unknown,D,,,,,,,,
Soupicurean,unknown,D,,,,,,,,
SOUTH CHICAGO FISH COMPAN,distributor,A,Distributor,,,,CHICAGO,IL,,
SOUTH HOLLAND PAPER,distributor,A,Distributor,,,,CHICAGO,IL,,
Spencers Coffee,customer,C,Casual Dining,,,,,KY,,WonderJuice
SPICELAND INC,distributor,A,Distributor,,,,,IL,,
Spillway Bar and Grill,prospect,C,Bar/Lounge,,,,,,,
Spillway BG,prospect,C,Bar/Lounge,270-842-9397,,2195 River St,Bowling Green,KY,42101,
Spirit Elephant,prospect,A,Vegan/ Vegetarian,,,n Bay Rd,Wilmette,IL,,Apart of a restaurant group with three other concepts.
Spoke +Ivy,customer,C,Casual Dining,,,,Fort Wayne,IN,,
Springhill Suites by Marriott Springfield Southwest,unknown,D,,,,,,,,
Square,unknown,D,,,,,,,,
Square Roots,unknown,C,,,,,,,,
Squire Ale House,unknown,D,,,,,,,,
Squire On The Square,unknown,B,,,,,,,,
St John's Universtiy,unknown,A,,,,,,,,
ST LAWRENCE,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
St. Joseph Brewery,customer,D,Gastropub,,,,,,,
St. Mary's Hospital,prospect,A,Healthcare,,,,,,,
Stables Steakhouse,customer,D,Chain/Group,,,,,,,Emailed on Proper Stock CATMAN identification-on 8/19 identified Catman who is Lauren Vanryn. Our timing is excellent as this category is up for review in a month or so and they will likely request samples and a presentation.
STACKED Pancake House,customer,B,Chain/Group,,,,,,,"3/8"" & Cubed"
"STAPLETON'S, INC.",distributor,A,Distributor,,,,,MI,,
State Line Pizza,unknown,D,,,,,,,,
Station 21,customer,B,Chain/Group,,,,,,,
steady eddie,prospect,A,Vegan/ Vegetarian,,,,Flint,MI,,meeting-awaiting assigned sales rep names
Steak and Shake,customer,A,Chain/Group,,,,,,,
STEAK AND VINE,customer,B,Fine Dining,,,,,,,
Steel Plow Burger Co,unknown,C,,,,,,,,
STOKER'S TENDEREX FARMS,distributor,A,Distributor,,,,,KY,,
studio grille,customer,A,Gastropub,,,,,MI,,
SUN VALLEY FOODS CO.,distributor,A,Distributor,,,,,MI,,
Sunda New Asian,customer,A,Gastropub,,,,,,,Sous Chef recieved; need to follow up
SUNY BUFFALO,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
Superdawg Drive-In,customer,B,Chain/Group,,,,,,,
SuperDawg.,prospect,C,Fast food,,,,,,,
Superior,distributor,A,Distributor,,,,,,,
SUPERIOR FOODS CO.,distributor,A,Distributor,,,,,MI,,
Superkhana,unknown,D,,,,,,,,
SUPREME LOBSTER AND SEAFO,distributor,A,Distributor,,,,Villa Park,IL,60181,Mike Sakshaug is the Retail Store Manager 05/22/2025
Surf�s Up Franchising Corporation,customer,B,Fine Dining,,,,,,,
Sweeney Girl Sweets,unknown,C,,,,,,,,
Sweet Berry Cafe,prospect,C,Breakfast/Brunch,,,720 N McLean Blvd,South Elgin,IL,,
Syds Fine Foods,unknown,C,,,,,,,,
SYRACUSE,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
Sysco,distributor,A,Distributor,,,,,,,
Sysco Chicago,distributor,A,Distributor,,,,,,,
Sysco GR,distributor,A,Distributor,,,,grand rapids,,,Sent emil on TCFB Holiday Blitz
Sysco(BG/Nashville),distributor,A,Distributor,,,,Nashville,TN,,planning ride alongs with BG Sales rep Bo Ghee
SYSCO/CENTRAL IL -VIRTUAL,distributor,A,Distributor,,,,,IL,,
SYSCO/CENTRAL ILLINOIS,distributor,A,Distributor,,,,,IL,,
SYSCO/CHICAGO,distributor,A,Distributor,,,,,IL,,
SYSCO/CHICAGO - VIRTUAL,distributor,A,Distributor,,,,,IL,,
SYSCO/CINCINNATI,distributor,A,Distributor,,,,CINCINNATI,OH,,
SYSCO/CLEVELAND,distributor,A,Distributor,,,,CLEVELAND,OH,,
SYSCO/DETROIT,distributor,A,Distributor,,,,,MI,,
SYSCO/GRAND RAPIDS,distributor,A,Distributor,,,,,MI,,
SYSCO/INDIANAPOLIS,distributor,A,Distributor,,,,,IN,,
SYSCO/LOUISVILLE,distributor,A,Distributor,,,,,KY,,
Tabor Hills Healthcare Facility,prospect,C,Healthcare,,,,,,,
Tavern on Main,unknown,D,,,,,,,,
Tavvas LLC,unknown,D,,,,,,,,
Teibel's,customer,A,Fine Dining,,,2234 N. Western Avenue,Chicago,IL,,
Test 12/2,customer,C,Pizza,,,,,,,
Testa Produce,distributor,A,Distributor,,,,,,,
texas corner meats,customer,A,Catering,,,,,MI,,
Texas corner Specialty Meats,customer,C,Catering,,,,,MI,,
Texas Corral Restaurants,unknown,C,,,,,,,,
The 30 Bird,prospect,C,Vegan/ Vegetarian,,,,,KY,,Plant based
The Barge,customer,A,Chain/Group,,,,,,,
The Blackwell Inn,customer,C,Casual Dining,,,,Columbus,OH,,intro
The BUTLER,customer,A,Chain/Group,,,,,,,
The Caterist,customer,A,Fine Dining,,,3517 N. Spaulding Ave,Chicago,IL,60618,Testa Kristen Lead for VAF; Contact - Rachel & Josh Owens
The Cliff Dwellers,unknown,B,,,,,,,,
The Country of the North,prospect,C,Country Clubs/Golf/Health Fitness,,,1 Club N Dr,Xenia,OH,45385,Shipped Chef Chelsea Fisher box of Annasea tuna and salmon
The Dearborn,customer,A,Fine Dining,,,,,,,
The Draft House,customer,B,Gastropub,,,,,,,
The Duplex,customer,A,Casual Dining,,,3137 W Logan Blvd,Chicago,IL,60647,Offers vegan/vegetarian options.
The Emily Hotel Chicago,customer,B,Gastropub,,,,,,,
The Entrance Restaurant,prospect,C,Bar/Lounge,,,15101 Dixie Hwy,Harvey,IL,60426,Javier is the Chef and Joe is the owner
The Farmacy,unknown,B,,,,,,,,
The Food Institute,unknown,B,,,,,,,,
The Harvest Room,prospect,B,Breakfast/Brunch,,,,,,,
The Hoppy Gnome,customer,A,Chain/Group,,,,Fort wayne,IN,,
the hub,customer,A,Gastropub,,,,,MI,,
The Lighthouse,customer,A,Fine Dining,,,,,,,
The Ohio State University,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
The Paperwork Chef,customer,B,Fine Dining,,,,,,,
The paramount group,customer,A,Chain/Group,773-880-8044,https://theparamountgroupchicago.com,,,,,"Eden, fuel good, cultivate, SYCSCO CONTRACT"
The Pizzeria,customer,C,Pizza,,,,,,,
The Point Sports Bar,customer,C,Gastropub,,,12713 cal sag rd,Crestwood,IL,60445,Emily is the owner
The Rackhouse Tavern,unknown,C,,,,,,,,
The Ramen District,unknown,C,,,,,,,,
The Rose Hotel,unknown,A,,,,,,,,
The Royal Group,customer,A,Chain/Group,,,,,,,
The Scrambled,unknown,B,,,,1448 N. wells,Chicago,IL,,
The Second City,customer,C,Entertainment,,,,,,,
The Table at Crate,customer,A,Casual Dining,,,,,,,
The Table At Crate,customer,A,Casual Dining,6305900063,,35 Oakbrook Center,Oak Brook,IL,60523,
The Vault Downtown,unknown,C,,,,,,,,
The Vig,customer,A,Fine Dining,,,,,,,Part of Vegacy Hoapitality Group
The Wealshire,unknown,C,,,,,,,,
Third coasting,customer,A,Chain/Group,773-349-8899,https://www.thirdcoasthg.com,,,,,"Treehouse, Chicago, Moses, Cantina, old Crow, smokehouse, tunnel, Chicago, La Luna"
Three Tarts Bakery and Cafe,customer,B,Gastropub,,,,,,,
Tiger Lily Cafe,customer,B,Gastropub,,,"1016 Church Street, Evanston Illinois",,,,
Tiger Lily Caf� (buys from GFS),customer,C,Gastropub,,,,,,,
Tilly�s Tea Room,customer,C,Gastropub,,,,,,,
Timothy's,customer,A,Fine Dining,,,,union,MI,,Would like to try FS as LTO and Poke
Tin Caps Milb Team Fort Wayne,prospect,C,Travel,,,,Ft Wayne,IN,,"Drop off samples from Annasea, Kaufhold and Frites Street"
Toast & Jam,prospect,B,Breakfast/Brunch,,,,,,,
Toeless Joel's,customer,B,Gastropub,,,,,,,
Tony�s Tacos,customer,B,Chain/Group,,,,,,,
Top Dog Pizza Pub,customer,B,Gastropub,,,,,,,
Top Shooters,unknown,B,,,,,,,,
Town Club,customer,B,Gastropub,,,,,,,
Towne & Oak,customer,A,Fine Dining,,,,Winnetka,,,
Townee Square Restaurant,customer,B,Gastropub,,,,,,,
Transitions,customer,B,Gastropub,,,,,,,
Trini�s Tasty Pastries,customer,B,Gastropub,,,,,,,
trinity health,prospect,A,Healthcare,,,,,MI,,
TROYER FOODS-NORTH,distributor,A,Distributor,,,,,IN,,
Tujax tavern,customer,B,Gastropub,,,,,,,
Tulane University,unknown,A,,,,,,,,
Turano Baking Co.,unknown,B,,,,,,,,
U OF RICHMOND,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
U. LYNCHBURG,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
UChicago Dining,customer,A,Education,,,,,,,
UHC,customer,B,Casual Dining,,,,,,,
Umeteagroup Inc,customer,B,Fine Dining,,,,,,,
Uncle Charlie's Meats,distributor,A,Distributor,800-688-1967,,406 N Estill Ave,Richmond,KY,40476,
Union Ale House,customer,A,Gastropub,,,,,,,
Union Club,customer,A,Fine Dining,,,,,,,
Union sushi and bbq bar,unknown,B,,,,,,,,
University Club of Chicago,customer,A,Fine Dining,,,,,,,
University of Alabama,unknown,A,,,,,,,,
University of Cincinnati,customer,C,Education,,,,Cinccinnati,OH,,Met the GFS rep who has account
University of Dayton,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
University of Georgia,unknown,A,,,,,,,,
University of Georgia,unknown,A,,,,,,,,
University of Illinois,unknown,A,,,,,,,,
UM,customer,A,Education,,,,,MI,,
University of Michigan,unknown,A,,,,,,,,
University of Minnesota,unknown,C,,,,,,,,
University of Notre Dame,customer,A,Education,,,,,,,
